KVcache prepared in 13.03012728691101 seconds
[0]: Semantic Similarity: 0.24778,	 cache time: 9.5367431640625e-07,	 generate time: 0.20666956901550293
[0]: [Cumulative]: Semantic Similarity: 0.24778,	 cache time: 9.5367431640625e-07,	 generate time: 0.20666956901550293
[1]: Semantic Similarity: 0.2548,	 cache time: 7.152557373046875e-07,	 generate time: 0.12981510162353516
[1]: [Cumulative]: Semantic Similarity: 0.25129,	 cache time: 8.344650268554688e-07,	 generate time: 0.16824233531951904
[2]: Semantic Similarity: 0.01859,	 cache time: 7.152557373046875e-07,	 generate time: 0.11956024169921875
[2]: [Cumulative]: Semantic Similarity: 0.17372,	 cache time: 7.947285970052084e-07,	 generate time: 0.15201497077941895
[3]: Semantic Similarity: 0.10049,	 cache time: 1.1920928955078125e-06,	 generate time: 0.11822843551635742
[3]: [Cumulative]: Semantic Similarity: 0.15542,	 cache time: 8.940696716308594e-07,	 generate time: 0.14356833696365356
[4]: Semantic Similarity: 0.20175,	 cache time: 7.152557373046875e-07,	 generate time: 0.12071704864501953
[4]: [Cumulative]: Semantic Similarity: 0.16468,	 cache time: 8.58306884765625e-07,	 generate time: 0.13899807929992675
[5]: Semantic Similarity: 0.29948,	 cache time: 4.76837158203125e-07,	 generate time: 0.11873292922973633
[5]: [Cumulative]: Semantic Similarity: 0.18715,	 cache time: 7.947285970052084e-07,	 generate time: 0.13562055428822836
[6]: Semantic Similarity: 0.42042,	 cache time: 7.152557373046875e-07,	 generate time: 0.11932706832885742
[6]: [Cumulative]: Semantic Similarity: 0.22047,	 cache time: 7.833753313337053e-07,	 generate time: 0.13329291343688965
[7]: Semantic Similarity: 0.13427,	 cache time: 7.152557373046875e-07,	 generate time: 0.12066388130187988
[7]: [Cumulative]: Semantic Similarity: 0.2097,	 cache time: 7.748603820800781e-07,	 generate time: 0.13171428442001343
[8]: Semantic Similarity: 0.08689,	 cache time: 1.430511474609375e-06,	 generate time: 0.11638402938842773
[8]: [Cumulative]: Semantic Similarity: 0.19605,	 cache time: 8.477105034722222e-07,	 generate time: 0.13001092274983725
[9]: Semantic Similarity: 0.27577,	 cache time: 1.1920928955078125e-06,	 generate time: 0.12118148803710938
[9]: [Cumulative]: Semantic Similarity: 0.20402,	 cache time: 8.821487426757813e-07,	 generate time: 0.12912797927856445
[10]: Semantic Similarity: 0.17485,	 cache time: 9.5367431640625e-07,	 generate time: 0.11773943901062012
[10]: [Cumulative]: Semantic Similarity: 0.20137,	 cache time: 8.886510675603693e-07,	 generate time: 0.12809265743602405
[11]: Semantic Similarity: 0.26865,	 cache time: 1.1920928955078125e-06,	 generate time: 0.12017440795898438
[11]: [Cumulative]: Semantic Similarity: 0.20698,	 cache time: 9.139378865559896e-07,	 generate time: 0.1274328033129374
[12]: Semantic Similarity: 0.42837,	 cache time: 9.5367431640625e-07,	 generate time: 0.13531231880187988
[12]: [Cumulative]: Semantic Similarity: 0.22401,	 cache time: 9.169945350060096e-07,	 generate time: 0.12803891988900992
[13]: Semantic Similarity: 0.21772,	 cache time: 1.430511474609375e-06,	 generate time: 0.11887240409851074
[13]: [Cumulative]: Semantic Similarity: 0.22356,	 cache time: 9.5367431640625e-07,	 generate time: 0.1273841687611171
[14]: Semantic Similarity: 0.25247,	 cache time: 7.152557373046875e-07,	 generate time: 0.11728954315185547
[14]: [Cumulative]: Semantic Similarity: 0.22549,	 cache time: 9.377797444661458e-07,	 generate time: 0.1267111937204997
[15]: Semantic Similarity: 0.07795,	 cache time: 9.5367431640625e-07,	 generate time: 0.12003040313720703
[15]: [Cumulative]: Semantic Similarity: 0.21627,	 cache time: 9.387731552124023e-07,	 generate time: 0.12629364430904388
[16]: Semantic Similarity: 0.2264,	 cache time: 9.5367431640625e-07,	 generate time: 0.11973118782043457
[16]: [Cumulative]: Semantic Similarity: 0.21686,	 cache time: 9.396496941061581e-07,	 generate time: 0.12590761745677276
[17]: Semantic Similarity: -0.01993,	 cache time: 7.152557373046875e-07,	 generate time: 0.11966943740844727
[17]: [Cumulative]: Semantic Similarity: 0.20371,	 cache time: 9.27183363172743e-07,	 generate time: 0.12556105189853245
[18]: Semantic Similarity: 0.23333,	 cache time: 9.5367431640625e-07,	 generate time: 0.11791539192199707
[18]: [Cumulative]: Semantic Similarity: 0.20527,	 cache time: 9.285776238692434e-07,	 generate time: 0.12515864874187269
[19]: Semantic Similarity: 0.16634,	 cache time: 7.152557373046875e-07,	 generate time: 0.11868810653686523
[19]: [Cumulative]: Semantic Similarity: 0.20332,	 cache time: 9.179115295410156e-07,	 generate time: 0.12483512163162232
[20]: Semantic Similarity: 0.03144,	 cache time: 9.5367431640625e-07,	 generate time: 0.11835646629333496
[20]: [Cumulative]: Semantic Similarity: 0.19514,	 cache time: 9.196145193917411e-07,	 generate time: 0.12452661423456102
[21]: Semantic Similarity: 0.19098,	 cache time: 7.152557373046875e-07,	 generate time: 0.12012743949890137
[21]: [Cumulative]: Semantic Similarity: 0.19495,	 cache time: 9.103254838423296e-07,	 generate time: 0.12432665174657648
[22]: Semantic Similarity: 0.20466,	 cache time: 9.5367431640625e-07,	 generate time: 0.11700034141540527
[22]: [Cumulative]: Semantic Similarity: 0.19537,	 cache time: 9.122102156929348e-07,	 generate time: 0.12400811651478642
[23]: Semantic Similarity: 0.19657,	 cache time: 7.152557373046875e-07,	 generate time: 0.1186063289642334
[23]: [Cumulative]: Semantic Similarity: 0.19542,	 cache time: 9.040037790934244e-07,	 generate time: 0.12378304203351338
[24]: Semantic Similarity: 0.19847,	 cache time: 1.1920928955078125e-06,	 generate time: 0.1179816722869873
[24]: [Cumulative]: Semantic Similarity: 0.19554,	 cache time: 9.1552734375e-07,	 generate time: 0.12355098724365235
[25]: Semantic Similarity: 0.14593,	 cache time: 9.5367431640625e-07,	 generate time: 0.11798357963562012
[25]: [Cumulative]: Semantic Similarity: 0.19363,	 cache time: 9.169945350060096e-07,	 generate time: 0.12333685618180495
[26]: Semantic Similarity: 0.15349,	 cache time: 9.5367431640625e-07,	 generate time: 0.11753582954406738
[26]: [Cumulative]: Semantic Similarity: 0.19215,	 cache time: 9.183530454282407e-07,	 generate time: 0.12312200334337023
[27]: Semantic Similarity: 0.02481,	 cache time: 9.5367431640625e-07,	 generate time: 0.11887526512145996
[27]: [Cumulative]: Semantic Similarity: 0.18617,	 cache time: 9.196145193917411e-07,	 generate time: 0.12297033412115914
[28]: Semantic Similarity: 0.09002,	 cache time: 9.5367431640625e-07,	 generate time: 0.12059402465820312
[28]: [Cumulative]: Semantic Similarity: 0.18285,	 cache time: 9.207889951508621e-07,	 generate time: 0.12288839241553998
[29]: Semantic Similarity: 0.2675,	 cache time: 7.152557373046875e-07,	 generate time: 0.12008500099182129
[29]: [Cumulative]: Semantic Similarity: 0.18568,	 cache time: 9.139378865559896e-07,	 generate time: 0.12279494603474934
[30]: Semantic Similarity: 0.23333,	 cache time: 9.5367431640625e-07,	 generate time: 0.11903095245361328
[30]: [Cumulative]: Semantic Similarity: 0.18721,	 cache time: 9.1521970687374e-07,	 generate time: 0.12267352688697077
[31]: Semantic Similarity: 0.24507,	 cache time: 9.5367431640625e-07,	 generate time: 0.11895608901977539
[31]: [Cumulative]: Semantic Similarity: 0.18902,	 cache time: 9.164214134216309e-07,	 generate time: 0.12255735695362091
[32]: Semantic Similarity: 0.30672,	 cache time: 9.5367431640625e-07,	 generate time: 0.1187601089477539
[32]: [Cumulative]: Semantic Similarity: 0.19259,	 cache time: 9.175502892696497e-07,	 generate time: 0.122442288832231
[33]: Semantic Similarity: 0.08135,	 cache time: 9.5367431640625e-07,	 generate time: 0.12000226974487305
[33]: [Cumulative]: Semantic Similarity: 0.18932,	 cache time: 9.186127606560202e-07,	 generate time: 0.12237052356495577
[34]: Semantic Similarity: 0.17124,	 cache time: 9.5367431640625e-07,	 generate time: 0.11890721321105957
[34]: [Cumulative]: Semantic Similarity: 0.1888,	 cache time: 9.196145193917411e-07,	 generate time: 0.12227157184055873
[35]: Semantic Similarity: 0.10696,	 cache time: 9.5367431640625e-07,	 generate time: 0.12012171745300293
[35]: [Cumulative]: Semantic Similarity: 0.18653,	 cache time: 9.205606248643663e-07,	 generate time: 0.12221185366312663
[36]: Semantic Similarity: 0.22818,	 cache time: 7.867813110351562e-06,	 generate time: 0.12068510055541992
[36]: [Cumulative]: Semantic Similarity: 0.18765,	 cache time: 1.1083242055532094e-06,	 generate time: 0.12217059006562105
[37]: Semantic Similarity: 0.0564,	 cache time: 9.5367431640625e-07,	 generate time: 0.11685657501220703
[37]: [Cumulative]: Semantic Similarity: 0.1842,	 cache time: 1.1042544716282895e-06,	 generate time: 0.1220307475642154
[38]: Semantic Similarity: 0.05363,	 cache time: 1.1920928955078125e-06,	 generate time: 0.11871743202209473
