KVcache prepared in 21.222987413406372 seconds
[0]: Semantic Similarity: 0.11478,	 cache time: 9.5367431640625e-07,	 generate time: 0.8863136768341064
[0]: [Cumulative]: Semantic Similarity: 0.11478,	 cache time: 9.5367431640625e-07,	 generate time: 0.8863136768341064
[1]: Semantic Similarity: 0.21284,	 cache time: 7.152557373046875e-07,	 generate time: 0.1384744644165039
[1]: [Cumulative]: Semantic Similarity: 0.16381,	 cache time: 8.344650268554688e-07,	 generate time: 0.5123940706253052
[2]: Semantic Similarity: 0.19179,	 cache time: 9.5367431640625e-07,	 generate time: 0.7541744709014893
[2]: [Cumulative]: Semantic Similarity: 0.17314,	 cache time: 8.742014567057291e-07,	 generate time: 0.5929875373840332
[3]: Semantic Similarity: 0.11399,	 cache time: 7.152557373046875e-07,	 generate time: 1.3538758754730225
[3]: [Cumulative]: Semantic Similarity: 0.15835,	 cache time: 8.344650268554688e-07,	 generate time: 0.7832096219062805
[4]: Semantic Similarity: 0.17272,	 cache time: 7.152557373046875e-07,	 generate time: 0.1401216983795166
[4]: [Cumulative]: Semantic Similarity: 0.16123,	 cache time: 8.106231689453125e-07,	 generate time: 0.6545920372009277
[5]: Semantic Similarity: 0.16796,	 cache time: 7.152557373046875e-07,	 generate time: 0.1380014419555664
[5]: [Cumulative]: Semantic Similarity: 0.16235,	 cache time: 7.947285970052084e-07,	 generate time: 0.5684936046600342
[6]: Semantic Similarity: 0.5032,	 cache time: 7.152557373046875e-07,	 generate time: 0.13984060287475586
[6]: [Cumulative]: Semantic Similarity: 0.21104,	 cache time: 7.833753313337053e-07,	 generate time: 0.5072574615478516
[7]: Semantic Similarity: 0.48356,	 cache time: 8.344650268554688e-06,	 generate time: 1.4729878902435303
[7]: [Cumulative]: Semantic Similarity: 0.24511,	 cache time: 1.7285346984863281e-06,	 generate time: 0.6279737651348114
[8]: Semantic Similarity: 0.27797,	 cache time: 4.76837158203125e-07,	 generate time: 0.5055410861968994
[8]: [Cumulative]: Semantic Similarity: 0.24876,	 cache time: 1.5894571940104167e-06,	 generate time: 0.61437013414171
[9]: Semantic Similarity: 0.32326,	 cache time: 9.5367431640625e-07,	 generate time: 2.089134931564331
[9]: [Cumulative]: Semantic Similarity: 0.25621,	 cache time: 1.52587890625e-06,	 generate time: 0.7618466138839721
[10]: Semantic Similarity: 0.20155,	 cache time: 7.152557373046875e-07,	 generate time: 0.5032861232757568
[10]: [Cumulative]: Semantic Similarity: 0.25124,	 cache time: 1.4521858908913352e-06,	 generate time: 0.7383411147377708
[11]: Semantic Similarity: 0.24838,	 cache time: 7.152557373046875e-07,	 generate time: 0.146162748336792
[11]: [Cumulative]: Semantic Similarity: 0.251,	 cache time: 1.3907750447591145e-06,	 generate time: 0.6889929175376892
[12]: Semantic Similarity: 0.34791,	 cache time: 1.1920928955078125e-06,	 generate time: 0.6265404224395752
[12]: [Cumulative]: Semantic Similarity: 0.25846,	 cache time: 1.3754918025090144e-06,	 generate time: 0.6841888794532189
[13]: Semantic Similarity: 0.19385,	 cache time: 7.152557373046875e-07,	 generate time: 0.13890838623046875
[13]: [Cumulative]: Semantic Similarity: 0.25384,	 cache time: 1.3283320835658482e-06,	 generate time: 0.6452402727944511
[14]: Semantic Similarity: 0.06726,	 cache time: 1.1920928955078125e-06,	 generate time: 0.14109277725219727
[14]: [Cumulative]: Semantic Similarity: 0.2414,	 cache time: 1.3192494710286458e-06,	 generate time: 0.6116304397583008
[15]: Semantic Similarity: 0.14861,	 cache time: 9.5367431640625e-07,	 generate time: 0.8732616901397705
[15]: [Cumulative]: Semantic Similarity: 0.2356,	 cache time: 1.296401023864746e-06,	 generate time: 0.6279823929071426
[16]: Semantic Similarity: 0.34176,	 cache time: 1.1920928955078125e-06,	 generate time: 0.14051485061645508
[16]: [Cumulative]: Semantic Similarity: 0.24185,	 cache time: 1.290265251608456e-06,	 generate time: 0.5993078315959257
[17]: Semantic Similarity: 0.18035,	 cache time: 9.5367431640625e-07,	 generate time: 2.289949655532837
