Retriever BM25 prepared in 1.8781604766845703 seconds
[0]: Semantic Similarity: 0.0686,	 retrieve time: 0.09249019622802734,	 generate time: 0.698671817779541
[0]: [Cumulative]: Semantic Similarity: 0.0686,	 retrieve time: 0.09249019622802734,	 generate time: 0.698671817779541
[1]: Semantic Similarity: 0.81103,	 retrieve time: 0.003648042678833008,	 generate time: 0.6100139617919922
[1]: [Cumulative]: Semantic Similarity: 0.43982,	 retrieve time: 0.048069119453430176,	 generate time: 0.6543428897857666
[2]: Semantic Similarity: 0.08785,	 retrieve time: 0.0037546157836914062,	 generate time: 0.21997666358947754
[2]: [Cumulative]: Semantic Similarity: 0.32249,	 retrieve time: 0.03329761823018392,	 generate time: 0.5095541477203369
[3]: Semantic Similarity: 0.24778,	 retrieve time: 0.003643512725830078,	 generate time: 0.22162747383117676
[3]: [Cumulative]: Semantic Similarity: 0.30382,	 retrieve time: 0.02588409185409546,	 generate time: 0.4375724792480469
[4]: Semantic Similarity: 0.01122,	 retrieve time: 0.003026723861694336,	 generate time: 0.21703481674194336
[4]: [Cumulative]: Semantic Similarity: 0.2453,	 retrieve time: 0.021312618255615236,	 generate time: 0.3934649467468262
[5]: Semantic Similarity: 0.26158,	 retrieve time: 0.003143310546875,	 generate time: 0.6629817485809326
[5]: [Cumulative]: Semantic Similarity: 0.24801,	 retrieve time: 0.018284400304158527,	 generate time: 0.43838441371917725
[6]: Semantic Similarity: 0.58693,	 retrieve time: 0.002897977828979492,	 generate time: 0.5440752506256104
[6]: [Cumulative]: Semantic Similarity: 0.29643,	 retrieve time: 0.016086339950561523,	 generate time: 0.45348310470581055
[7]: Semantic Similarity: 0.69937,	 retrieve time: 0.003229379653930664,	 generate time: 0.7847681045532227
[7]: [Cumulative]: Semantic Similarity: 0.34679,	 retrieve time: 0.014479219913482666,	 generate time: 0.49489372968673706
[8]: Semantic Similarity: 0.67583,	 retrieve time: 0.003004789352416992,	 generate time: 0.27974987030029297
[8]: [Cumulative]: Semantic Similarity: 0.38335,	 retrieve time: 0.01320428318447537,	 generate time: 0.4709888564215766
[9]: Semantic Similarity: 0.2548,	 retrieve time: 0.003072500228881836,	 generate time: 0.2231450080871582
[9]: [Cumulative]: Semantic Similarity: 0.3705,	 retrieve time: 0.012191104888916015,	 generate time: 0.44620447158813475
[10]: Semantic Similarity: -0.04609,	 retrieve time: 0.004610538482666016,	 generate time: 0.22022438049316406
[10]: [Cumulative]: Semantic Similarity: 0.33263,	 retrieve time: 0.011501962488347834,	 generate time: 0.42566082694313745
[11]: Semantic Similarity: 0.23415,	 retrieve time: 0.00356292724609375,	 generate time: 0.20122313499450684
[11]: [Cumulative]: Semantic Similarity: 0.32442,	 retrieve time: 0.010840376218159994,	 generate time: 0.4069576859474182
[12]: Semantic Similarity: 0.14968,	 retrieve time: 0.0034101009368896484,	 generate time: 0.22953343391418457
