Retriever BM25 prepared in 2.5946619510650635 seconds
[0]: Semantic Similarity: 0.27219,	 retrieve time: 0.1109466552734375,	 generate time: 0.6123650074005127
[0]: [Cumulative]: Semantic Similarity: 0.27219,	 retrieve time: 0.1109466552734375,	 generate time: 0.6123650074005127
[1]: Semantic Similarity: 0.8064,	 retrieve time: 0.003581523895263672,	 generate time: 0.478809118270874
[1]: [Cumulative]: Semantic Similarity: 0.5393,	 retrieve time: 0.057264089584350586,	 generate time: 0.5455870628356934
[2]: Semantic Similarity: 0.78556,	 retrieve time: 0.0027327537536621094,	 generate time: 0.20805716514587402
[2]: [Cumulative]: Semantic Similarity: 0.62138,	 retrieve time: 0.03908697764078776,	 generate time: 0.4330770969390869
[3]: Semantic Similarity: 0.24778,	 retrieve time: 0.0032873153686523438,	 generate time: 0.10766148567199707
[3]: [Cumulative]: Semantic Similarity: 0.52798,	 retrieve time: 0.030137062072753906,	 generate time: 0.35172319412231445
[4]: Semantic Similarity: 0.21683,	 retrieve time: 0.002759218215942383,	 generate time: 1.9116334915161133
[4]: [Cumulative]: Semantic Similarity: 0.46575,	 retrieve time: 0.024661493301391602,	 generate time: 0.6637052536010742
[5]: Semantic Similarity: 0.37793,	 retrieve time: 0.0026807785034179688,	 generate time: 0.18868422508239746
[5]: [Cumulative]: Semantic Similarity: 0.45112,	 retrieve time: 0.020998040835062664,	 generate time: 0.5845350821812948
[6]: Semantic Similarity: 0.58693,	 retrieve time: 0.004498720169067383,	 generate time: 0.5016589164733887
[6]: [Cumulative]: Semantic Similarity: 0.47052,	 retrieve time: 0.018640995025634766,	 generate time: 0.5726956299373082
[7]: Semantic Similarity: 0.69937,	 retrieve time: 0.0033707618713378906,	 generate time: 0.684237003326416
[7]: [Cumulative]: Semantic Similarity: 0.49913,	 retrieve time: 0.016732215881347656,	 generate time: 0.5866383016109467
[8]: Semantic Similarity: 0.67583,	 retrieve time: 0.0032241344451904297,	 generate time: 0.17142987251281738
[8]: [Cumulative]: Semantic Similarity: 0.51876,	 retrieve time: 0.015231317943996854,	 generate time: 0.5405040317111545
[9]: Semantic Similarity: 0.25282,	 retrieve time: 0.003074169158935547,	 generate time: 0.5166501998901367
[9]: [Cumulative]: Semantic Similarity: 0.49217,	 retrieve time: 0.014015603065490722,	 generate time: 0.5381186485290528
[10]: Semantic Similarity: 0.18573,	 retrieve time: 0.0027501583099365234,	 generate time: 1.104468584060669
[10]: [Cumulative]: Semantic Similarity: 0.46431,	 retrieve time: 0.012991471724076704,	 generate time: 0.5896050063046542
[11]: Semantic Similarity: 0.23415,	 retrieve time: 0.003091096878051758,	 generate time: 0.10062479972839355
[11]: [Cumulative]: Semantic Similarity: 0.44513,	 retrieve time: 0.012166440486907959,	 generate time: 0.5488566557566324
[12]: Semantic Similarity: 0.14968,	 retrieve time: 0.0030117034912109375,	 generate time: 0.10182595252990723
[12]: [Cumulative]: Semantic Similarity: 0.4224,	 retrieve time: 0.011462229948777419,	 generate time: 0.514469678585346
[13]: Semantic Similarity: 0.33941,	 retrieve time: 0.002874612808227539,	 generate time: 0.5361075401306152
[13]: [Cumulative]: Semantic Similarity: 0.41647,	 retrieve time: 0.010848828724452428,	 generate time: 0.5160152401242938
[14]: Semantic Similarity: 0.5127,	 retrieve time: 0.003306865692138672,	 generate time: 0.3195343017578125
[14]: [Cumulative]: Semantic Similarity: 0.42289,	 retrieve time: 0.010346031188964844,	 generate time: 0.5029165108998617
[15]: Semantic Similarity: 0.11291,	 retrieve time: 0.0030107498168945312,	 generate time: 0.10087990760803223
[15]: [Cumulative]: Semantic Similarity: 0.40351,	 retrieve time: 0.00988757610321045,	 generate time: 0.4777892231941223
[16]: Semantic Similarity: 0.64754,	 retrieve time: 0.0030126571655273438,	 generate time: 0.1807851791381836
[16]: [Cumulative]: Semantic Similarity: 0.41787,	 retrieve time: 0.009483169106876148,	 generate time: 0.4603183970731847
[17]: Semantic Similarity: 0.14725,	 retrieve time: 0.0030052661895751953,	 generate time: 0.10304999351501465
[17]: [Cumulative]: Semantic Similarity: 0.40283,	 retrieve time: 0.009123285611470541,	 generate time: 0.4404701524310642
[18]: Semantic Similarity: 0.24866,	 retrieve time: 0.002824068069458008,	 generate time: 0.11234021186828613
[18]: [Cumulative]: Semantic Similarity: 0.39472,	 retrieve time: 0.00879174784610146,	 generate time: 0.42320015555933904
[19]: Semantic Similarity: 0.22205,	 retrieve time: 0.003107786178588867,	 generate time: 0.11541891098022461
[19]: [Cumulative]: Semantic Similarity: 0.38609,	 retrieve time: 0.00850754976272583,	 generate time: 0.4078110933303833
[20]: Semantic Similarity: 0.67461,	 retrieve time: 0.003079652786254883,	 generate time: 0.4883129596710205
[20]: [Cumulative]: Semantic Similarity: 0.39983,	 retrieve time: 0.008249078478131975,	 generate time: 0.4116445155370803
[21]: Semantic Similarity: 0.11182,	 retrieve time: 0.002933025360107422,	 generate time: 0.11285972595214844
[21]: [Cumulative]: Semantic Similarity: 0.38673,	 retrieve time: 0.00800743970003995,	 generate time: 0.3980633887377652
[22]: Semantic Similarity: 0.11707,	 retrieve time: 0.0027625560760498047,	 generate time: 0.10492372512817383
[22]: [Cumulative]: Semantic Similarity: 0.37501,	 retrieve time: 0.0077794012816055965,	 generate time: 0.3853181859721308
[23]: Semantic Similarity: 0.36758,	 retrieve time: 0.0037522315979003906,	 generate time: 0.9416217803955078
[23]: [Cumulative]: Semantic Similarity: 0.3747,	 retrieve time: 0.007611602544784546,	 generate time: 0.4084975024064382
[24]: Semantic Similarity: 0.35371,	 retrieve time: 0.003444671630859375,	 generate time: 0.7133991718292236
[24]: [Cumulative]: Semantic Similarity: 0.37386,	 retrieve time: 0.007444925308227539,	 generate time: 0.4206935691833496
[25]: Semantic Similarity: 1.0,	 retrieve time: 0.003676891326904297,	 generate time: 0.21484756469726562
[25]: [Cumulative]: Semantic Similarity: 0.39794,	 retrieve time: 0.0073000009243304916,	 generate time: 0.4127764151646541
[26]: Semantic Similarity: 0.71382,	 retrieve time: 0.004242420196533203,	 generate time: 0.9511721134185791
[26]: [Cumulative]: Semantic Similarity: 0.40964,	 retrieve time: 0.007186757193671333,	 generate time: 0.4327169965814661
[27]: Semantic Similarity: 0.15366,	 retrieve time: 0.002969503402709961,	 generate time: 0.11159539222717285
[27]: [Cumulative]: Semantic Similarity: 0.4005,	 retrieve time: 0.007036140986851284,	 generate time: 0.4212483678545271
[28]: Semantic Similarity: 0.40585,	 retrieve time: 0.002676725387573242,	 generate time: 0.16051936149597168
[28]: [Cumulative]: Semantic Similarity: 0.40068,	 retrieve time: 0.00688581631101411,	 generate time: 0.41225771246285275
[29]: Semantic Similarity: 1.0,	 retrieve time: 0.0029535293579101562,	 generate time: 0.253429651260376
[29]: [Cumulative]: Semantic Similarity: 0.42066,	 retrieve time: 0.006754740079243978,	 generate time: 0.4069634437561035
