Retriever BM25 prepared in 0.38138794898986816 seconds
[0]: Semantic Similarity: 1.0,	 retrieve time: 0.23494172096252441,	 generate time: 0.5553984642028809
[0]: [Cumulative]: Semantic Similarity: 1.0,	 retrieve time: 0.23494172096252441,	 generate time: 0.5553984642028809
[1]: Semantic Similarity: 0.21284,	 retrieve time: 0.0036077499389648438,	 generate time: 0.12899279594421387
[1]: [Cumulative]: Semantic Similarity: 0.60642,	 retrieve time: 0.11927473545074463,	 generate time: 0.34219563007354736
[2]: Semantic Similarity: 1.0,	 retrieve time: 0.0037262439727783203,	 generate time: 0.16323304176330566
[2]: [Cumulative]: Semantic Similarity: 0.73761,	 retrieve time: 0.08075857162475586,	 generate time: 0.2825414339701335
[3]: Semantic Similarity: -0.08028,	 retrieve time: 0.003015756607055664,	 generate time: 0.6436610221862793
[3]: [Cumulative]: Semantic Similarity: 0.53314,	 retrieve time: 0.06132286787033081,	 generate time: 0.3728213310241699
[4]: Semantic Similarity: 0.40345,	 retrieve time: 0.0031948089599609375,	 generate time: 0.587794303894043
[4]: [Cumulative]: Semantic Similarity: 0.5072,	 retrieve time: 0.049697256088256835,	 generate time: 0.4158159255981445
[5]: Semantic Similarity: 0.16796,	 retrieve time: 0.0035653114318847656,	 generate time: 0.13146710395812988
[5]: [Cumulative]: Semantic Similarity: 0.45066,	 retrieve time: 0.04200859864552816,	 generate time: 0.3684244553248088
[6]: Semantic Similarity: 0.5032,	 retrieve time: 0.0046994686126708984,	 generate time: 0.11930513381958008
[6]: [Cumulative]: Semantic Similarity: 0.45817,	 retrieve time: 0.03667872292654855,	 generate time: 0.3328359808240618
[7]: Semantic Similarity: 0.38334,	 retrieve time: 0.003338336944580078,	 generate time: 0.2577347755432129
[7]: [Cumulative]: Semantic Similarity: 0.44881,	 retrieve time: 0.03251117467880249,	 generate time: 0.3234483301639557
[8]: Semantic Similarity: 0.27797,	 retrieve time: 0.003600597381591797,	 generate time: 0.20215892791748047
[8]: [Cumulative]: Semantic Similarity: 0.42983,	 retrieve time: 0.029298888312445745,	 generate time: 0.30997172991434735
[9]: Semantic Similarity: 0.35311,	 retrieve time: 0.003430604934692383,	 generate time: 0.08628153800964355
[9]: [Cumulative]: Semantic Similarity: 0.42216,	 retrieve time: 0.02671205997467041,	 generate time: 0.28760271072387694
[10]: Semantic Similarity: 0.17948,	 retrieve time: 0.0029392242431640625,	 generate time: 0.09250259399414062
[10]: [Cumulative]: Semantic Similarity: 0.4001,	 retrieve time: 0.024550893089988014,	 generate time: 0.2698663364757191
[11]: Semantic Similarity: 1.0,	 retrieve time: 0.0029382705688476562,	 generate time: 0.2196817398071289
[11]: [Cumulative]: Semantic Similarity: 0.45009,	 retrieve time: 0.02274984121322632,	 generate time: 0.2656842867533366
[12]: Semantic Similarity: 0.4981,	 retrieve time: 0.00334930419921875,	 generate time: 0.7844352722167969
[12]: [Cumulative]: Semantic Similarity: 0.45378,	 retrieve time: 0.021257492212148812,	 generate time: 0.3055882087120643
[13]: Semantic Similarity: 1.0,	 retrieve time: 0.003262758255004883,	 generate time: 0.2107996940612793
[13]: [Cumulative]: Semantic Similarity: 0.4928,	 retrieve time: 0.019972154072352817,	 generate time: 0.2988176005227225
[14]: Semantic Similarity: 0.2718,	 retrieve time: 0.004332065582275391,	 generate time: 0.20632266998291016
[14]: [Cumulative]: Semantic Similarity: 0.47806,	 retrieve time: 0.018929481506347656,	 generate time: 0.29265127182006834
[15]: Semantic Similarity: 1.0,	 retrieve time: 0.003645181655883789,	 generate time: 0.1824781894683838
[15]: [Cumulative]: Semantic Similarity: 0.51069,	 retrieve time: 0.017974212765693665,	 generate time: 0.2857654541730881
[16]: Semantic Similarity: 0.34176,	 retrieve time: 0.003506183624267578,	 generate time: 0.10920882225036621
[16]: [Cumulative]: Semantic Similarity: 0.50075,	 retrieve time: 0.017123152227962717,	 generate time: 0.2753797699423397
[17]: Semantic Similarity: 0.69907,	 retrieve time: 0.0033044815063476562,	 generate time: 1.0735816955566406
[17]: [Cumulative]: Semantic Similarity: 0.51177,	 retrieve time: 0.016355448298984103,	 generate time: 0.31972432136535645
[18]: Semantic Similarity: 0.98765,	 retrieve time: 0.003826618194580078,	 generate time: 0.2570457458496094
[18]: [Cumulative]: Semantic Similarity: 0.53681,	 retrieve time: 0.015696036188225997,	 generate time: 0.3164254489697908
[19]: Semantic Similarity: 0.89232,	 retrieve time: 0.0037834644317626953,	 generate time: 0.14294123649597168
[19]: [Cumulative]: Semantic Similarity: 0.55459,	 retrieve time: 0.015100407600402831,	 generate time: 0.30775123834609985
[20]: Semantic Similarity: 0.15829,	 retrieve time: 0.003145456314086914,	 generate time: 0.1819162368774414
[20]: [Cumulative]: Semantic Similarity: 0.53572,	 retrieve time: 0.01453112420581636,	 generate time: 0.3017590954190209
[21]: Semantic Similarity: 0.4888,	 retrieve time: 0.003579854965209961,	 generate time: 0.19593143463134766
[21]: [Cumulative]: Semantic Similarity: 0.53358,	 retrieve time: 0.014033339240334251,	 generate time: 0.29694874720139935
[22]: Semantic Similarity: 1.0,	 retrieve time: 0.0033881664276123047,	 generate time: 0.1582355499267578
[22]: [Cumulative]: Semantic Similarity: 0.55386,	 retrieve time: 0.013570505639781122,	 generate time: 0.29091773862424103
[23]: Semantic Similarity: 0.12417,	 retrieve time: 0.0024957656860351562,	 generate time: 0.18770241737365723
[23]: [Cumulative]: Semantic Similarity: 0.53596,	 retrieve time: 0.013109058141708374,	 generate time: 0.28661710023880005
[24]: Semantic Similarity: 0.20242,	 retrieve time: 0.003550291061401367,	 generate time: 0.11710000038146973
[24]: [Cumulative]: Semantic Similarity: 0.52262,	 retrieve time: 0.012726707458496094,	 generate time: 0.27983641624450684
[25]: Semantic Similarity: 0.20156,	 retrieve time: 0.0033135414123535156,	 generate time: 0.1167914867401123
[25]: [Cumulative]: Semantic Similarity: 0.51027,	 retrieve time: 0.012364662610567533,	 generate time: 0.2735654574174147
[26]: Semantic Similarity: 0.05285,	 retrieve time: 0.002907276153564453,	 generate time: 0.3136253356933594
[26]: [Cumulative]: Semantic Similarity: 0.49333,	 retrieve time: 0.012014389038085938,	 generate time: 0.2750491566128201
[27]: Semantic Similarity: 0.7403,	 retrieve time: 0.0034492015838623047,	 generate time: 0.18306493759155273
[27]: [Cumulative]: Semantic Similarity: 0.50215,	 retrieve time: 0.011708489486149378,	 generate time: 0.2717640059334891
[28]: Semantic Similarity: 0.48657,	 retrieve time: 0.0031235218048095703,	 generate time: 0.11467981338500977
[28]: [Cumulative]: Semantic Similarity: 0.50161,	 retrieve time: 0.011412456117827317,	 generate time: 0.26634730963871395
[29]: Semantic Similarity: 0.39272,	 retrieve time: 0.0029218196868896484,	 generate time: 0.20048141479492188
[29]: [Cumulative]: Semantic Similarity: 0.49798,	 retrieve time: 0.011129434903462727,	 generate time: 0.2641517798105876
[30]: Semantic Similarity: 0.5032,	 retrieve time: 0.0024535655975341797,	 generate time: 0.11698150634765625
[30]: [Cumulative]: Semantic Similarity: 0.49815,	 retrieve time: 0.010849568151658582,	 generate time: 0.259404351634364
[31]: Semantic Similarity: 1.0,	 retrieve time: 0.003278493881225586,	 generate time: 0.2379593849182129
[31]: [Cumulative]: Semantic Similarity: 0.51383,	 retrieve time: 0.01061297208070755,	 generate time: 0.25873419642448425
[32]: Semantic Similarity: 1.0,	 retrieve time: 0.0027310848236083984,	 generate time: 0.18260979652404785
[32]: [Cumulative]: Semantic Similarity: 0.52857,	 retrieve time: 0.010374127012310606,	 generate time: 0.25642739642750134
[33]: Semantic Similarity: 0.97438,	 retrieve time: 0.0029439926147460938,	 generate time: 0.19524765014648438
[33]: [Cumulative]: Semantic Similarity: 0.54168,	 retrieve time: 0.010155593647676356,	 generate time: 0.2546279921251185
[34]: Semantic Similarity: 0.01473,	 retrieve time: 0.0033156871795654297,	 generate time: 0.24030804634094238
[34]: [Cumulative]: Semantic Similarity: 0.52662,	 retrieve time: 0.009960167748587472,	 generate time: 0.2542188508169992
