KVcache prepared in 2.9590539932250977 seconds
[0]: Semantic Similarity: 0.45045,	 cache time: 9.5367431640625e-07,	 generate time: 8.986762523651123
[0]: [Cumulative]: Semantic Similarity: 0.45045,	 cache time: 9.5367431640625e-07,	 generate time: 8.986762523651123
[1]: Semantic Similarity: 0.28225,	 cache time: 7.152557373046875e-07,	 generate time: 8.242159366607666
[1]: [Cumulative]: Semantic Similarity: 0.36635,	 cache time: 8.344650268554688e-07,	 generate time: 8.614460945129395
[2]: Semantic Similarity: 0.54875,	 cache time: 7.152557373046875e-07,	 generate time: 0.4233243465423584
[2]: [Cumulative]: Semantic Similarity: 0.42715,	 cache time: 7.947285970052084e-07,	 generate time: 5.884082078933716
[3]: Semantic Similarity: 0.19632,	 cache time: 7.152557373046875e-07,	 generate time: 1.4793834686279297
[3]: [Cumulative]: Semantic Similarity: 0.36944,	 cache time: 7.748603820800781e-07,	 generate time: 4.782907426357269
[4]: Semantic Similarity: 0.70332,	 cache time: 9.5367431640625e-07,	 generate time: 2.5293939113616943
[4]: [Cumulative]: Semantic Similarity: 0.43622,	 cache time: 8.106231689453125e-07,	 generate time: 4.332204723358155
[5]: Semantic Similarity: 0.605,	 cache time: 7.152557373046875e-07,	 generate time: 0.8247804641723633
[5]: [Cumulative]: Semantic Similarity: 0.46435,	 cache time: 7.947285970052084e-07,	 generate time: 3.747634013493856
[6]: Semantic Similarity: 0.50593,	 cache time: 7.152557373046875e-07,	 generate time: 1.1696155071258545
[6]: [Cumulative]: Semantic Similarity: 0.47029,	 cache time: 7.833753313337053e-07,	 generate time: 3.379345655441284
[7]: Semantic Similarity: 0.53464,	 cache time: 7.152557373046875e-07,	 generate time: 3.5404841899871826
[7]: [Cumulative]: Semantic Similarity: 0.47833,	 cache time: 7.748603820800781e-07,	 generate time: 3.3994879722595215
[8]: Semantic Similarity: 0.3302,	 cache time: 9.5367431640625e-07,	 generate time: 0.6869523525238037
[8]: [Cumulative]: Semantic Similarity: 0.46187,	 cache time: 7.947285970052084e-07,	 generate time: 3.0980951256222196
[9]: Semantic Similarity: 0.25962,	 cache time: 7.152557373046875e-07,	 generate time: 2.050551652908325
[9]: [Cumulative]: Semantic Similarity: 0.44165,	 cache time: 7.867813110351562e-07,	 generate time: 2.99334077835083
[10]: Semantic Similarity: 0.68829,	 cache time: 9.5367431640625e-07,	 generate time: 0.44210290908813477
[10]: [Cumulative]: Semantic Similarity: 0.46407,	 cache time: 8.019534024325284e-07,	 generate time: 2.7614100629633125
[11]: Semantic Similarity: 0.30516,	 cache time: 1.430511474609375e-06,	 generate time: 0.28983569145202637
[11]: [Cumulative]: Semantic Similarity: 0.45083,	 cache time: 8.54333241780599e-07,	 generate time: 2.5554455320040383
[12]: Semantic Similarity: 0.27993,	 cache time: 7.152557373046875e-07,	 generate time: 0.4103264808654785
[12]: [Cumulative]: Semantic Similarity: 0.43768,	 cache time: 8.436349722055288e-07,	 generate time: 2.3904363742241492
[13]: Semantic Similarity: 0.32893,	 cache time: 7.152557373046875e-07,	 generate time: 5.091371059417725
[13]: [Cumulative]: Semantic Similarity: 0.42991,	 cache time: 8.344650268554688e-07,	 generate time: 2.5833602803094045
[14]: Semantic Similarity: 0.54597,	 cache time: 9.5367431640625e-07,	 generate time: 4.026491641998291
[14]: [Cumulative]: Semantic Similarity: 0.43765,	 cache time: 8.424123128255208e-07,	 generate time: 2.6795690377553303
[15]: Semantic Similarity: 0.23929,	 cache time: 9.5367431640625e-07,	 generate time: 8.537148475646973
[15]: [Cumulative]: Semantic Similarity: 0.42525,	 cache time: 8.493661880493164e-07,	 generate time: 3.045667752623558
[16]: Semantic Similarity: 0.51661,	 cache time: 9.5367431640625e-07,	 generate time: 3.6787045001983643
[16]: [Cumulative]: Semantic Similarity: 0.43063,	 cache time: 8.555019603056066e-07,	 generate time: 3.0829052083632527
[17]: Semantic Similarity: 0.47107,	 cache time: 7.152557373046875e-07,	 generate time: 1.0765717029571533
[17]: [Cumulative]: Semantic Similarity: 0.43287,	 cache time: 8.477105034722222e-07,	 generate time: 2.9714422358406916
